category,model,url
direct-cool-refrigerator,MFA-2A3-GDSH-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-2a3-gdsh-xx
direct-cool-refrigerator,MFA-2A3-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-2a3-gdxx-xx
direct-cool-refrigerator,MFA-2A3-GERB-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-2a3-gerb-xx
direct-cool-refrigerator,MFA-2A3-NEXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-2a3-nexx-xx
direct-cool-refrigerator,MFA-2A3-RLXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-2a3-rlxx-xx
direct-cool-refrigerator,MFA-A9C-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-a9c-gdxx-xx
direct-cool-refrigerator,MNM-B1G-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mnm-b1g-0102-gdel-xx
direct-cool-refrigerator,MFB-B0A-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?product_id=1507
direct-cool-refrigerator,MFB-B0A-GDSH-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b0a-gdsh-xx
direct-cool-refrigerator,MFB-B0A-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b0a-gdxx-xx
direct-cool-refrigerator,MFA-A9C-ELEX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-a9c-elex-xx
direct-cool-refrigerator,MFA-A9C-GDSH-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-a9c-gdsh-xx
direct-cool-refrigerator,MFB-A8E-ELXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-a8e-elxx-xx
direct-cool-refrigerator,MFB-A8E-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-a8e-gdel-xx
direct-cool-refrigerator,MFB-A8E-GDSH-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-a8e-gdsh-xx
direct-cool-refrigerator,MFB-A8E-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-a8e-gdxx-xx
direct-cool-refrigerator,MFB-A8E-RNXX-RP,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-a8e-rnxx-rp
direct-cool-refrigerator,<,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?page=6
direct-cool-refrigerator,>,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?page=8
direct-cool-refrigerator,MFB-A7G-GDSH-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?product_id=1500
direct-cool-refrigerator,MFD-A6C-GDEL-SC (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfd-a6c-gdel-sc-inverter
direct-cool-refrigerator,MFD-A6C-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfd-a6c-gdel-xx
direct-cool-refrigerator,MFD-A4D-GDEH-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?product_id=1518
direct-cool-refrigerator,MFD-A4D-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfd-a4d-gdel
direct-cool-refrigerator,MFD-A5X-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfd-a5x-gdel-xx
direct-cool-refrigerator,MFD-1B6-GDEH-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?product_id=1487
direct-cool-refrigerator,MFD-1B6-GDEL-PC,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfd-1b6-gdel-pc
direct-cool-refrigerator,MFD-1B6-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfd-1b6-gdel-xx
direct-cool-refrigerator,MFD-1B6-RDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfd-1b6-rdxx-xx
direct-cool-refrigerator,MFD-1B6-RXXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfd-1b6-rxxx-xx
direct-cool-refrigerator,MFO-A0A-RXXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfo-a0a-rxxx-xx
